FID,OBJECTID,NAME,ADMIN_ORG,REGION,STATE,COMMENTS,NO_MAP,LABELS,URL,LATITUDE,LONGITUDE,x,y
1,35,Gidarjil Land and Sea Rangers (2 groups),Gidarjil Development Corporation,Qld - Mainland southern region,QLD,Note: Two groups,2,2 Gidarjil Land and Sea Rangers (2 groups),https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/gidarjil-bundaberg-land-and-sea-rangers,-24.76514356,152.38913268,16963880.6520691,-2846925.25538863
2,36,Queensland Murray Darling Rangers,Queensland Murray Darling Catchments Limited,Qld - Mainland southern region,QLD, ,3,3 Queensland Murray Darling Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/queensland-murray-darling-rangers,-28.141971,149.57673,16650805.4181663,-3266884.90449503
3,37,Balanggarra Rangers,Kimberley Land Council,WA - Kimberley region,WA, ,2,2 Balanggarra Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/balanggarra-ipa-and-rangers,-15.4869,128.12428,14262729.6079018,-1745378.28076082
4,38,Bardi Jawi Rangers,Kimberley Land Council,WA - Kimberley region,WA, ,3,3 Bardi Jawi Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/bardi-jawi-ipa-and-rangers,-16.44832,123.0602,13698998.8008884,-1856699.59676079
5,39,Gooniyandi Rangers,Kimberley Land Council,WA - Kimberley region,WA, ,4,4 Gooniyandi Rangers,https://www.niaa.gov.au/gooniyandi-rangers,-18.17806,125.5914,13980770.6960155,-2058400.71752999
6,40,Karajarri Rangers,Karajarri Traditional Lands Association,WA - Kimberley region,WA, ,5,5 Karajarri Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/karajarri-ipa-and-rangers,-18.685,121.7808,13556576.6443886,-2117884.64161717
7,41,Yanunijarra Ngurrara Rangers,Yanunijarra Aboriginal Corporation RNTBC,WA - Kimberley region,WA, ,6,6 Yanunijarra Ngurrara Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/warlu-jilajaa-jumu-ipa-and-yanunijarra-ngurrara-rangers,-18.98609,125.5102,13971731.5533875,-2153298.30645982
8,42,Anangu Luritjiku Rangers,Central Land Council,NT - Central Australian region,NT, ,1,1 Anangu Luritjiku Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/anangu-luritjiku-rangers,-23.20246371,131.9070736,14683828.2651347,-2656521.63068719
9,43,APY Land Management Rangers,Anangu Pitjantjatjara Yankunytjatjara (APY) Land Management,SA,SA,Previously Anangu Land Management Rangers (and prior  to that APY Sandy Bore),1,1 APY Land Management Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/warru-kaninytjaku-apy-rangers,-27.012908,132.713772,14773629.5203366,-3125084.52568482
10,44,Gangalidda Garawa (Burketown) Rangers,Carpentaria Land Council Aboriginal Corporation,Qld - Mainland northern region,QLD,Previously Gangalidda Garawa Rangers,4,4 Gangalidda Garawa (Burketown) Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/nijinda-durlga-ipa-and-gangalidda-garawa-rangers,-16.921613,138.924031,15464952.389839,-1911702.23803644
11,45,Nyikina Mangala Rangers,Walalakoo Aboriginal Corporation RNTBC,WA - Kimberley region,WA, ,7,7 Nyikina Mangala Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/indigenous-rangers-working-country/nyikina-mangala-rangers,-18.01304,124.011,13804841.3727257,-2039074.91019529
12,46,Nyul Nyul Rangers,Kimberley Land Council,WA - Kimberley region,WA, ,8,8 Nyul Nyul Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/nyul-nyul-rangers,-16.97944,122.6658,13655094.393724,-1918431.86681592
13,47,Paruku Rangers,Kimberley Land Council,WA - Kimberley region,WA, ,9,9 Paruku Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/paruku-ipa-and-rangers,-20.10136,127.5952,14203832.6917082,-2285042.2840889
14,48,Uunguu Rangers,Wunambal Gaambera Aboriginal Corporation,WA - Kimberley region,WA, ,10,10 Uunguu Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/uunguu-ipa-and-rangers,-14.29469,126.6421,14097734.084948,-1608047.40676778
15,15,Wunggurr Rangers,Wilinggin Aboriginal Corporation,WA - Kimberley region,WA,Changed lat/long 2016,11,11 Wunggurr Rangers,https://www.niaa.gov.au/indigenous-affairs/environment/wilinggin-ipa-and-wunggurr-rangers,-16.45602,126.315,14061321.4795134,-1857593.35022465
16,16,Tasmania PWS Trainees,"Department of Primary Industries, Parks, Water and the Environment",TAS,TAS, ,2,2 Tasmania PWS Trainees,https://www.niaa.gov.au/tasmanian-aboriginal-trainee-rangers,-42.2,146.7,16330569.2993844,-5190985.71474012
